id,filename,status,processed_at,processing_time_seconds,nome_produto,nome_produto_confidence,fabricante,fabricante_confidence,numero_onu,numero_onu_confidence,numero_onu_status,numero_onu_message,numero_cas,numero_cas_confidence,numero_cas_status,numero_cas_message,classificacao_onu,classificacao_onu_confidence,classificacao_onu_status,classificacao_onu_message,grupo_embalagem,grupo_embalagem_confidence,incompatibilidades,incompatibilidades_confidence
248,65032-HERBICIDA LIQUIDO ARTYS.pdf,success,2025-11-20 11:34:17.693868,3.479277925000133,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,1050,0.85,warning,,NAO ENCONTRADO,1.0,valid,,"1050 - Gases comprimidos ou dissolvidos sob pressão, não inflamáveis ou com risco de explosão",1.0,valid,,,1.0,NAO ENCONTRADO,1.0
238,629-HERBICIDA LIQUIDO SC METRIBUZIM 480GL.pdf,success,2025-11-20 11:34:04.838612,0.6788955530009844,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,2007,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
235,61745 - HERBICIDA GLIFOSATO (480 GL-EQUIVALENTE ACIDO) - SL.pdf,success,2025-11-20 11:33:40.803869,0.6937801639996906,ROUNDUP TRANSORB R Data da última revisão: 12/05/2008,0.75,Monsanto do Brasil Ltda.,0.72,1200,0.85,warning,,1071-83-6,0.8,warning,,,1.0,valid,,,1.0,NAO ENCONTRADO,1.0
216,52291-HERBICIDA ALION BAYER.pdf,success,2025-11-20 11:33:32.506126,2.7098119939983007,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,3116,0.85,warning,,NAO ENCONTRADO,1.0,valid,,3116 - Corrosivo para metais,1.0,valid,,,1.0,NAO ENCONTRADO,1.0
210,50477 - HERBICIDA METSULFURON METILICO 600.pdf,success,2025-11-20 11:33:22.516141,3.024961863999124,METSULFURON NORTOX,0.75,NORTOX S.A.,0.8,3077,0.95,valid,,NAO ENCONTRADO,1.0,valid,,9,0.7,warning,,III,0.8,NAO ENCONTRADO,1.0
205,47223-HERBICIDA DIURON 500 SC NORTOX.pdf,success,2025-11-20 11:33:16.222891,4.109680863000904,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,3274,0.85,warning,,NAO ENCONTRADO,1.0,valid,,3274,1.0,valid,,II,1.0,NAO ENCONTRADO,1.0
203,47221-HERBICIDA HEXAZINONA 250.pdf,success,2025-11-20 11:33:06.354457,1.199227836999853,HEXAZINONA NORTOX FISPQ: 33/2009,0.75,NORTOX S/A,0.72,3082,0.95,valid,,NAO ENCONTRADO,1.0,valid,,9,0.7,warning,,III,0.8,NAO ENCONTRADO,1.0
201,47220-HERBICIDA TRIFURALINA GOLD NORTOX.pdf,success,2025-11-20 11:32:56.921563,2.1591991200002667,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,0011,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
200,47219-HERBICIDA HEXAZINONA-D NORTOX.pdf,success,2025-11-20 11:32:49.744435,4.433590570000888,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,0011,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
139,25 - HERBICIDA LIQUIDO BORAL 500 SC FMC.pdf,success,2025-11-20 11:32:48.486840,42.10989101400082,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,1701,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,6.1,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
161,31904-HERBICIDA LIQUIDO GAMIT 360 CS.pdf,success,2025-11-20 11:32:48.327738,41.885465205999935,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,1701,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,6.1,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
106,1496-HERBICIDA LIQUIDA SINERGE FMC.pdf,success,2025-11-20 11:32:48.295554,41.86627813099949,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,1701,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,6.1,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
99,14148-HERBICIDA LIQUIDO AMINOL 806 MILENA.pdf,success,2025-11-20 11:32:48.140633,41.69386168700112,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,2085,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
193,46962 - HERBICIDA DIUROM (603 GKG) + HEXAZINONA (170 GKG) + SULFOM.pdf,success,2025-11-20 11:32:47.218526,40.846637742000894,FRONT®,0.88,NAO ENCONTRADO,0.0,3077,0.95,valid,,330-54-1,0.8,warning,,9,0.7,warning,,III,0.8,,
150,26438-HERBICIDA FLUMIZIN.pdf,success,2025-11-20 11:32:46.932620,40.5620931350004,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,2200,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,2.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
154,27400-HERBICIDA METSURAM 600WG.pdf,success,2025-11-20 11:32:42.544224,36.140744349999295,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,1459,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,5.1,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
181,412-HERBICIDA LIQUIDO SC AMETRINA 500GL.pdf,success,2025-11-20 11:32:41.604458,34.59546808400046,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,2948,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,6.1,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
94,12913-HERBICIDA LIQUIDO CONTAIN.pdf,success,2025-11-20 11:32:41.360561,34.519430066000496,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,3150,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,2.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
97,13752-HERBICIDA GRANULADO DINAMIC.pdf,success,2025-11-20 11:32:41.010382,34.181670523999856,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,2041,0.85,warning,,NAO ENCONTRADO,1.0,valid,,2.3,1.0,valid,,,1.0,NAO ENCONTRADO,1.0
183,41884-HERBICIDA HEXANIL.pdf,success,2025-11-20 11:32:40.562372,33.29948529400099,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,2972,0.85,warning,,NAO ENCONTRADO,1.0,valid,,2.3,1.0,valid,,,1.0,NAO ENCONTRADO,1.0
91,12872-HERBICIDA CLOMAZONE 500 G LT.pdf,success,2025-11-20 11:32:39.889032,32.85755689299913,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,2159,0.85,warning,,NAO ENCONTRADO,1.0,valid,,2.3,1.0,valid,,,1.0,NAO ENCONTRADO,1.0
80,1078-HERBICIDA GRANULADA PLATEAU BASF.pdf,success,2025-11-20 11:32:38.211043,30.947824545000916,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,1498,0.85,warning,,NAO ENCONTRADO,1.0,valid,,1498 - Corrosivo para metais,1.0,valid,,III,1.0,NAO ENCONTRADO,1.0
88,12854 - HERBICIDA LIQUIDO MSMA SL 720 GL.pdf,success,2025-11-20 11:32:36.705514,30.19322233899948,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,1049,0.85,warning,,NAO ENCONTRADO,1.0,valid,,3 (Perigoso para o meio ambiente),0.95,valid,,,1.0,NAO ENCONTRADO,1.0
87,12722-HERBICIDA JUMP GRDA.pdf,success,2025-11-20 11:32:36.123516,29.70749584400073,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,2085,0.85,warning,,NAO ENCONTRADO,1.0,valid,,2.3,1.0,valid,,,1.0,NAO ENCONTRADO,1.0
148,26437-HERBICIDA COACT.pdf,success,2025-11-20 11:32:31.236108,24.09389867200116,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,2830,0.85,warning,,NAO ENCONTRADO,1.0,valid,,2830 - Corrosivo em contato com a pele,1.0,invalid,"Value error, Classe ONU invalida.",II,1.0,NAO ENCONTRADO,1.0
365,88247 - ADJUVANTE SILOX ULTRA.pdf,success,2025-11-19 14:56:28.480114,119.69602535399828,NAO ENCONTRADO,0.8,NAO ENCONTRADO,0.8,NAO ENCONTRADO,0.8,warning,,NAO ENCONTRADO,0.8,warning,,,0.8,warning,,,1.0,,
366,88248 - MATRIZ D.pdf,success,2025-11-19 14:56:25.195441,114.9846409169986,NAO ENCONTRADO,0.8,NAO ENCONTRADO,0.8,NAO ENCONTRADO,0.8,warning,,NAO ENCONTRADO,0.8,warning,,,0.8,warning,,,1.0,,
377,BL_TECNUP_MAX_720_WG ITEM 700.pdf,success,2025-11-19 14:56:07.827504,63.87640493500294,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,1307,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,3.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
376,BL_MAUSER_500_SC (1) ITEM 25.pdf,success,2025-11-19 14:55:59.351860,59.73366029300087,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,1307,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,3.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
363,88246 - FERTILIZANTE ORGANICO SEALL ACOPHYLLUM.pdf,success,2025-11-19 14:55:58.451962,90.51339674200062,NAO ENCONTRADO,0.8,NAO ENCONTRADO,0.8,NAO ENCONTRADO,0.8,warning,,NAO ENCONTRADO,0.8,warning,,,0.8,warning,,,1.0,,
375,CETRIX 200 - ITEM 21652.pdf,success,2025-11-19 14:55:28.842740,23.122340433998037,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,1103,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
373,Azokop_Fispq_v1_rev0.pdf,success,2025-11-19 14:55:14.599032,15.79783500999838,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,1190,0.85,warning,,12125-02-9,0.8,warning,,3.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
372,91138 - MAUSER 500 SC.pdf,success,2025-11-19 14:55:14.552575,27.78542108399779,MAUSER 500 SC.,0.75,Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda,0.8,3082,0.95,valid,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,9,0.7,warning,,III,0.8,,
371,91136 - TECNUP.pdf,success,2025-11-19 14:55:05.210123,20.54740282899729,TECNUP MAX 720 WG.,0.75,Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda,0.8,1307,0.85,warning,,1071-83-6,0.8,warning,,3.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
316,82550 DRULFLOC A 10 PLUS_FDS.pdf,success,2025-11-19 14:55:02.957841,126.5683754519996,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,NAO ENCONTRADO,1.0,valid,,NAO ENCONTRADO,1.0,valid,,,1.0,valid,,,1.0,,
367,89318 IMPULSE FDS.pdf,success,2025-11-19 14:55:01.600778,23.42880187199989,IMPULSE,0.75,SUMITOMO CHEMICAL BRASIL INDUSTRIA QUIMICA S.A.,0.8,3265,0.95,valid,,16672-87-0,0.8,warning,,8.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.8,,
369,90220 BIOHARV PRO.pdf,success,2025-11-19 14:55:00.632642,18.463089392000256,NAO ENCONTRADO,0.0,ALGAS MARINHAS INDUSTRIA & COMERCIO LTDA,0.72,1560,0.85,warning,,84696-13-9,0.8,warning,,6.1,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,I,0.0,,
370,90938- PRETORIAN.pdf,success,2025-11-19 14:54:54.808813,9.369595711003058,PRETORIAN,0.75,Itatijuca Comércio e Fabricação de Produtos Agrícolas LTDA,0.72,2022,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,6.1,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
358,88240 ALTAG LIMPA TANQUE FDS.pdf,success,2025-11-19 14:54:53.944939,32.49489371600066,NAO ENCONTRADO,0.0,LIMPA TANQUE (DETERGENTE AGRÍCOLA),0.72,1004,0.85,warning,,7647-01-0,0.8,warning,,,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
368,90937 - OSTARA MIX.pdf,success,2025-11-19 14:54:53.743584,10.138026832999458,OSTARA,0.75,Itatijuca Comércio e Fabricação de Produtos Agrícolas LTDA,0.72,2021,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,6.1,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,III,0.0,,
360,88248 - ADJUVANTE MATRIZ D.pdf,success,2025-11-19 14:54:49.785746,20.65505965400007,MATRIZ G,0.75,SANTA CLARA AGROCIENCIA INDUSTRIAL LTDA,0.8,2000,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,4.1,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,III,0.0,,
364,8903 - UREIA.pdf,success,2025-11-19 14:54:48.488211,14.13535415899969,Uréia,0.88,Iterum Comércio Internacional Ltda.,0.72,0904,0.85,warning,,57-13-6,0.8,warning,,,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
361,88249 - ADJUVANTE RANCHERO - fispq.pdf,success,2025-11-19 14:54:44.151392,12.579763287001697,Ranchero,0.88,NAO ENCONTRADO,0.0,1919,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,3.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
353,87633 LINEAR_FDS.pdf,success,2025-11-19 14:54:43.892362,31.53776350299813,LINEAR,0.75,NAO ENCONTRADO,0.0,3082,0.95,valid,,64700-56-7,0.8,warning,,9,0.7,warning,,III,0.8,,
341,85471 - INSETICIDA OCTANE SC ISARIA FUMOSOROSEA.pdf,success,2025-11-19 14:54:43.249054,44.07527838399983,O CTANE Datdae e labora25ç/ã1o0:/ 2 019,0.75,NAO ENCONTRADO,0.0,2346,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,3.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
362,88513 COLORART ALCOOL ISOPROPILICO FDS.pdf,success,2025-11-19 14:54:40.907948,9.115573176000908,ALL LUB,0.75,COLORART IND. E COMÉRCIO LTDA.,0.72,1950,0.95,valid,,67-63-0,0.8,warning,,2,0.78,invalid,"Value error, Classe ONU invalida.",,0.0,,
359,88244 - FERTILIZANTE ORGANOMINERAL SPEED KOMBO.pdf,success,2025-11-19 14:54:40.396633,12.593914260996826,SPEED KOMBO,0.75,FERTILIZER AGROSCIENCES LTDA.,0.72,1300,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,3.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
356,88242 - FERTILIZANTE MISTO PEROLA AGRO-X.pdf,success,2025-11-19 14:54:39.970780,14.295469444001355,PÉROLA FISPQ: 01/2023,0.75,AGROX AGROCIENCIA LTDA,0.72,2023,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,6.1,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
357,88243 - FERTILIZANTE MINERAL MISTO XBOR.pdf,success,2025-11-19 14:54:37.962827,11.165072912001053,FLEX XBOR,0.75,FERTILIZER AGROSCIENCES LTDA.,0.72,1400,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,4.3,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
354,88230 EXIMIA FDS.pdf,success,2025-11-19 14:54:33.407065,19.43349060000037,EXIMIA.,0.75,UPL DO BRASIL INDÚSTRIA E COMÉRCIO DE INSUMOS,0.8,3337,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,2.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
344,86101 VERIMARK FDS.pdf,success,2025-11-19 14:54:29.145863,28.12900952400014,VERIMARK®,0.88,FMC QUÍMICA DO BRASIL LTDA.,0.72,3082,0.95,valid,,2634-33-5,0.8,warning,,9,0.7,warning,,III,0.8,,
347,86912 YAMATO FDS.pdf,success,2025-11-19 14:54:28.793302,22.48094584999853,YAMATO SC.,0.75,IHARABRAS S.A. INDÚSTRIAS QUÍMICAS.,0.8,3082,0.95,valid,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,9,0.7,warning,,III,0.8,,
349,87390 - INOCULANTE ENDOMAXX SC MICORRIZAS ARBUSCULARES - fispq.pdf,success,2025-11-19 14:54:27.862932,21.092737128998124,EndoMaxx SC.,0.75,SUMITOMO CHEMICAL BRASIL INDUSTRIA QUIMICA S.A.,0.8,2138,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
352,88054_LUBRAX_VALORA_SP_0W-20 FDS.pdf,success,2025-11-19 14:54:25.528599,13.864305907001835,Mistura,0.75,Vibra Energia S.A.,0.72,2024,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,6.1,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,I,0.0,,
343,86101 - INSETICIDA LIQUIDO CIANTRANILIPROLE SC 200GL.pdf,success,2025-11-19 14:54:24.474848,24.15493276699999,Verimark®,0.88,FMC QUÍMICA DO BRASIL LTDA.,0.72,3082,0.95,valid,,12174-11-7,0.8,warning,,9,0.7,warning,,III,0.8,,
351,87391 AURAS FDS.pdf,success,2025-11-19 14:54:23.533313,13.467979583998384,AURAS,0.75,NAO ENCONTRADO,0.0,2010,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,4.3,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,I,0.0,,
350,87391 - REDUTOR EFEITOS ESTRESS AURAS BACILLUS ARYBHATTAI fispq.pdf,success,2025-11-19 14:54:22.074272,13.822829724002077,Não aplicável.,0.75,NOOA CIÊNCIA E TECNOLOGIA AGRÍCOLA LTDA.,0.72,1363,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,4.2,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,III,0.0,,
346,86611 SUVINIL PISOCONCRETO_53419109_FDS.PDF,success,2025-11-19 14:54:20.200184,17.701021429998946,SUVINIL PISO CONCRETO,0.75,BASF S.A.,0.72,2719,0.85,warning,,1302-78-9,0.8,warning,,5.1,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
345,86583 MECATEC 2 FLUIDO FDS.pdf,success,2025-11-19 14:54:17.454336,15.561572001999592,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,2079,0.95,valid,,111-40-0,0.8,warning,,3,0.78,warning,,II,0.8,,
281,76921 JCB FDS.pdf,success,2025-11-19 14:54:10.113252,146.64226641099958,NAO ENCONTRADO,0.8,NAO ENCONTRADO,0.8,NAO ENCONTRADO,0.8,warning,,NAO ENCONTRADO,0.8,warning,,,0.8,warning,,,1.0,,
338,85465 - INSETICIDA BIOBREV BIOINSETICIDA.pdf,success,2025-11-19 14:54:07.613125,14.146172832999582,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,1190,0.85,warning,,NAO ENCONTRADO,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,3.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
339,85466 CORVAIR FDS.pdf,success,2025-11-19 14:54:07.461915,11.084163673000148,Mistura,0.75,NAO ENCONTRADO,0.0,1919,0.85,warning,,63428-82-0,0.8,warning,,3.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
340,85467 DETROIT FDS.pdf,success,2025-11-19 14:54:06.096450,7.286519645000226,Mistura,0.75,NAO ENCONTRADO,0.0,1919,0.85,warning,,67892-13-1,0.8,warning,,3.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
337,85464 BIOOLIMPO FDS.pdf,success,2025-11-19 14:54:04.475642,11.256994695002504,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,1190,0.85,warning,,57-50-1,0.8,warning,,3.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
336,85464 - INSETICIDA BIOOLIMPO WP.pdf,success,2025-11-19 14:54:01.889714,10.696051792998333,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,1190,0.85,warning,,57-50-1,0.8,warning,,3.0,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,II,0.0,,
335,85463 - FERTILIZANTE BIONAUTUS.pdf,success,2025-11-19 14:54:00.824403,13.553363076000096,NAO ENCONTRADO,0.0,NAO ENCONTRADO,0.0,1425,0.85,warning,,1310-58-3,0.8,warning,,,0.0,invalid,Confianca abaixo do limiar minimo (0.7).,,0.0,,
