numero_onu,classificacao_onu,proper_shipping_name
72,1.1D,"Cyclotrimethylenetrinitramine, wetted or Cyclonite, wetted or Hexogen, wetted or RDX, wetted with not less than 15 percent water by mass"
73,1.1B,Detonators for ammunition
74,1.1A,"Diazodinitrophenol, wetted with not less than 40 percent water or mixture of alcohol and water, by mass"
75,1.1D,"Diethylene glycol dinitrate, desensitized with not less than 25 percent non-volatile water-insoluble phlegmatizer, by mass"
76,1.1D,"Dinitrophenol, dry or wetted with less than 15 percent water, by mass"
77,1.3C,"Dinitrophenolates alkali metals, dry or wetted with less than 15 percent water, by mass"
78,1.1D,"Dinitroresorcinol, dry or wetted with less than 15 percent water, by mass"
79,1.1D,Hexanitrodiphenylamine or Dipicrylamine or Hexyl
80,?,(UN No. no longer in use)
81,1.1D,"Explosive, blasting, type A"
82,1.1D,"Explosive, blasting, type B"
83,1.1D,"Explosive, blasting, type C"
84,1.1D,"Explosive, blasting, type D"
85,?,(UN No.s no longer in use)
86,?,(UN No.s no longer in use)
87,?,(UN No.s no longer in use)
88,?,(UN No.s no longer in use)
89,?,(UN No.s no longer in use)
90,?,(UN No.s no longer in use)
91,?,(UN No.s no longer in use)
92,1.3D,"Flares, surface"
93,1.3G,"Flares, aerial"
94,1.1G,Flash powder
95,?,(UN No. no longer in use)
96,?,"(UN No. no longer in use) Flash powder, photo-flash (UN No. no longer in use)[1]"
97,?,(UN No.s no longer in use)
98,?,(UN No.s no longer in use)
99,1.1D,"Fracturing devices, explosives, without detonators for oil wells"
100,?,(UN No. no longer in use)
101,1.3G,"Fuse, non-detonating instantaneous or quickmatch"
102,1.2D,Cord detonating or Fuse detonating metal clad
103,1.4G,"Fuse, igniter tubular metal clad"
104,1.4D,"Cord, detonating, mild effect or Fuse, detonating, mild effect metal clad"
105,1.4S,"Fuse, safety"
106,1.1B,"Fuzes, detonating"
107,1.2B,"Fuzes, detonating"
108,?,(UN No.s no longer in use)
109,?,(UN No.s no longer in use)
110,1.4S,"Grenades, practice, hand or rifle"
111,?,(UN No.s no longer in use)
112,?,(UN No.s no longer in use)
113,1.1A,"Guanyl nitrosaminoguanylidene hydrazine, wetted with not less than 30 percent water, by mass"
114,1.1A,"Guanyl nitrosaminoguanyltetrazene, wetted or Tetrazene, wetted with not less than 30 percent water or mixture of alcohol and water, by mass"
115,?,(UN No.s no longer in use)
116,?,(UN No.s no longer in use)
117,?,(UN No.s no longer in use)
118,1.1D,"Hexolite, or Hexotol dry or wetted with less than 15 percent water, by mass"
119,?,(UN No.s no longer in use)
120,?,(UN No.s no longer in use)
121,1.1G,Igniters
122,?,(UN No.s no longer in use)
124,1.1D,"Jet, perforating guns, charged oil well, without detonator"
125,?,(UN No.s no longer in use)
126,?,(UN No.s no longer in use)
127,?,(UN No.s no longer in use)
128,?,(UN No.s no longer in use)
129,1.1A,"Lead azide, wetted with not less than 20 percent water or mixture of alcohol and water, by mass"
130,1.1A,"Lead styphnate, wetted or Lead trinitroresorcinate, wetted with not less than 20 percent water or mixture of alcohol and water, by mass"
131,1.4S,"Lighters, fuse"
132,1.3C,"Deflagrating metal salts of aromatic nitroderivatives, n.o.s."
133,1.1D,"Mannitol hexanitrate, wetted or Nitromannite, wetted with not less than 40 percent water, or mixture of alcohol and water, by mass"
134,?,(UN No. no longer in use)
135,1.1A,"Mercury fulminate, wetted with not less than 20 percent water, or mixture of alcohol and water, by mass"
136,1.1F,Mines with bursting charge
137,1.1D,Mines with bursting charge
138,1.2D,Mines with bursting charge
139,?,(UN No.s no longer in use)
140,?,(UN No.s no longer in use)
141,?,(UN No.s no longer in use)
142,?,(UN No.s no longer in use)
143,1.1D,"Nitroglycerin, desensitized with not less than 40 percent non-volatile water-insoluble phlegmatizer, by mass"
144,1.1D,"Nitroglycerin, solution in alcohol, with more than 1 percent but not more than 10 percent nitroglycerin"
145,?,(UN No. no longer in use)
146,1.1D,"Nitrostarch, dry or wetted with less than 20 percent water, by mass"
147,1.1D,Nitro urea
148,?,(UN No.s no longer in use)
149,?,(UN No.s no longer in use)
150,1.1D,"Pentaerythrite tetranitrate, wetted or Pentaerythritol tetranitrate, wetted or PETN, wetted with not less than 25 percent water, by mass, or Pentaerythrite tetranitrate, or Pentaerythritol tetranitrate, or PETN, desensitized with not less than 15 percent phlegmatizer, by mass"
151,1.1D,"Pentolite, dry or wetted with less than 15 percent water, by mass"
152,?,(UN No. no longer in use)
153,1.1D,Trinitroaniline or Picramide
154,1.1D,"Trinitrophenol or picric acid, dry or wetted with less than 30 percent water, by mass"
155,1.1D,Trinitrochlorobenzene or Picryl chloride
156,?,(UN No.s no longer in use)
157,?,(UN No.s no longer in use)
158,?,(UN No. no longer in use) Potassium salts of nitroaromatic derivatives (UN No. no longer in use)[1]
159,1.3C,"Powder cake, wetted or Powder paste, wetted with not less than 25 percent water, by mass"
160,1.1C,"Powder, smokeless"
161,1.3C,"Powder, smokeless"
162,?,(UN No.s no longer in use)
163,?,(UN No.s no longer in use)
164,?,(UN No.s no longer in use)
165,?,(UN No.s no longer in use)
166,?,(UN No.s no longer in use)
167,1.1F,"Projectiles, with bursting charge"
168,1.1D,"Projectiles, with bursting charge"
169,1.2D,"Projectiles, with bursting charge"
170,?,(UN No. no longer in use)
171,1.2G,"Ammunition, illuminating with or without burster, expelling charge, or propelling charge"
172,?,(UN No. no longer in use)
173,1.4S,"Release devices, explosive"
174,1.4S,"Rivets, explosive"
175,?,(UN No.s no longer in use)
176,?,(UN No.s no longer in use)
177,?,(UN No.s no longer in use)
178,?,(UN No.s no longer in use)
179,?,(UN No.s no longer in use)
180,1.1F,"Rockets, with bursting charge"
181,1.1E,"Rockets, with bursting charge"
182,1.2E,"Rockets, with bursting charge"
183,1.3C,"Rockets, with inert head"
184,?,(UN No.s no longer in use)
185,?,(UN No.s no longer in use)
186,1.3C,Rocket motors
187,?,(UN No.s no longer in use)
188,?,(UN No.s no longer in use)
189,?,(UN No.s no longer in use)
190,1,"Samples, explosive, other than initiating explosives"
191,1.4G,"Signal devices, hand"
192,1.1G,"Signals, railway track, explosive"
193,1.4S,"Signals, railway track, explosive"
194,1.1G,"Signals, distress, ship"
195,1.3G,"Signals, distress, ship"
196,1.1G,"Signals, smoke"
197,1.4G,"Signals, smoke"
198,?,(UN No.s no longer in use)
199,?,(UN No.s no longer in use)
200,?,(UN No.s no longer in use)
201,?,(UN No.s no longer in use)
203,?,"(UN No. no longer in use) Sodium salts of nitro-aromatic derivatives, n.o.s. (UN No. no longer in use)[1]"
204,1.2F,"Sounding devices, explosive"
205,?,(UN No. no longer in use)
206,?,(UN No. no longer in use) Squibs (UN No. no longer in use)[1]
207,1.1D,Tetranitroaniline
208,1.1D,Trinitrophenylmethylnitramine or Tetryl
209,1.1D,"Trinitrotoluene or TNT, dry or wetted with less than 30 percent water, by mass"
210,?,(UN No.s no longer in use)
212,1.3G,Tracers for ammunition
213,1.1D,Trinitroanisole
214,1.1D,"Trinitrobenzene, dry or wetted with less than 30 percent water, by mass"
215,1.1D,"Trinitrobenzoic acid, dry or wetted with less than 30 percent water, by mass"
216,1.1D,Trinitro-meta-cresol
217,1.1D,Trinitronaphthalene
218,1.1D,Trinitrophenetole
219,1.1D,"Trinitroresorcinol or Styphnic acid, dry or wetted with less than 20 percent water, or mixture of alcohol and water, by mass"
220,1.1D,"Urea nitrate, dry or wetted with less than 20 percent water, by mass"
221,1.1D,"Warheads, torpedo with bursting charge"
222,1.1D,"Ammonium nitrate, with more than 0.2 percent combustible substances, including any organic substance calculated as carbon, to the exclusion of any other added substance"
223,1,(UN No. no longer in use) Ammonium nitrate fertilizers (UN No. no longer in use)[1]
224,1.1A,"Barium azide, dry or wetted with less than 50 percent water, by mass"
225,1.1B,Boosters with detonator
226,1.1D,"Cyclotetramethylenetetranitramine, wetted or HMX, wetted or Octogen, wetted with not less than 15 percent water, by mass"
227,?,(UN No.s no longer in use)
234,1.3C,"Sodium dinitro-o-cresolate, dry or wetted with less than 15 percent of water, by mass"
235,1.3C,"Sodium picramate, dry or wetted with less than 20 percent water, by mass"
236,1.3C,"Zirconium picramate, dry or wetted less than 20 percent water, by mass"
237,1.4D,"Charges, shaped, flexible, linear"
238,1.2G,"Rockets, line-throwing"
239,?,(UN No. no longer in use)
240,1.3G,"Rockets, line-throwing"
241,1.1D,"Explosive, blasting, type E"
242,1.3C,"Charges, propelling, for cannon"
243,1.2H,"Ammunition, incendiary, white phosphorus, with burster, expelling charge, or propelling charge"
244,1.3H,"Ammunition, incendiary, white phosphorus, with burster, expelling charge, or propelling charge"
245,1.2H,"Ammunition smoke, white phosphorus with burster, expelling charge, or propelling charge"
246,1.3H,"Ammunition smoke, white phosphorus with burster, expelling charge, or propelling charge"
247,1.3J,"Ammunition, incendiary liquid or gel, with burster, expelling charge, or propelling charge"
248,1.2L,"Contrivances, water-activated, with burster, expelling charge, or propelling charge"
249,1.3L,"Contrivances, water-activated, with burster, expelling charge, or propelling charge"
250,1.3L,Rocket motors with hypergolic liquids with or without an expelling charge
251,?,(UN No.s no longer in use)
254,1.3G,"Ammunition, illuminating with or without burster, expelling charge, or propelling charge"
255,1.4B,"Detonators, electric, for blasting"
256,?,(UN No. no longer in use)
257,1.4B,"Fuzes, detonating"
258,?,(UN No.s no longer in use)
266,1.1D,"Octolite or Octol, dry or wetted with less than 15 percent water, by mass"
267,1.4B,"Detonators, non-electric, for blasting"
268,1.2B,Boosters with detonator
269,?,(UN No.s no longer in use)
271,1.1C,"Charges, propelling"
272,1.3C,"Charges, propelling"
273,?,"(UN No. no longer in use) Charges, propelling, for rocket motors (UN No. no longer in use)[1]"
274,?,"(UN No. no longer in use) Charges, propelling, for rocket motors (UN No. no longer in use)[1]"
275,1.3C,"Cartridges, power device"
276,1.4C,"Cartridges, power device"
277,1.3C,"Cartridges, oil well"
278,1.4C,"Cartridges, oil well"
279,1.1C,"Charges, propelling, for cannon"
280,1.1C,Rocket motors
281,1.2C,Rocket motors
282,1.1D,"Nitroguanidine or Picrite, dry or wetted with less than 20 percent water, by mass"
283,1.2D,"Boosters, without detonator"
284,1.1D,"Grenades, hand or rifle, with bursting charge"
285,1.2D,"Grenades, hand or rifle, with bursting charge"
286,1.1D,"Warheads, rocket with bursting charge"
287,1.2D,"Warheads, rocket with bursting charge"
288,1.1D,"Charges, shaped, flexible, linear"
289,1.4D,"Cord, detonating, flexible"
290,1.1D,"Cord, detonating or Fuse, detonating metal clad"
291,1.2F,"Bombs, with bursting charge"
292,1.1F,"Grenades, hand or rifle, with bursting charge"
293,1.2F,"Grenades, hand or rifle, with bursting charge"
294,1.2F,Mines with bursting charge
295,1.2F,"Rockets, with bursting charge"
296,1.1F,"Sounding devices, explosive"
297,1.4G,"Ammunition, illuminating with or without burster, expelling charge, or propelling charge"
298,?,(UN No. no longer in use)
299,1.3G,"Bombs, photo-flash"
300,1.4G,"Ammunition, incendiary with or without burster, expelling charge, or propelling charge"
301,1.4G,"Ammunition, tear-producing with burster, expelling charge, or propelling charge"
302,?,(UN No. no longer in use)
303,1.4G,"Ammunition, smoke, with or without burster, expelling charge, or propelling charge"
304,?,(UN No. no longer in use)
305,1.3G,Flash powder
306,1.4G,Tracers for ammunition
307,?,(UN No.s no longer in use)
312,1.4G,"Cartridges, signal"
313,1.2G,"Signals, smoke"
314,1.2G,Igniters
315,1.3G,Igniters
316,1.3G,"Fuzes, igniting"
317,1.4G,"Fuzes, igniting"
318,1.3G,"Grenades, practice, hand or rifle"
319,1.3G,"Primers, tubular"
320,1.4G,"Primers, tubular"
321,1.2E,"Cartridges for weapons, with bursting charge"
322,1.2L,Rocket motors with hypergolic liquids with or without an expelling charge
323,1.4S,"Cartridges, power device"
324,1.2F,"Projectiles, with bursting charge"
325,1.4G,Igniters
326,1.1C,"Cartridges for weapons, blank"
327,1.3C,"Cartridges for weapons, blank or Cartridges, small arms, blank"
328,1.2C,"Cartridges for weapons, inert projectile"
329,1.1E,Torpedoes with bursting charge
330,1.1F,Torpedoes with bursting charge
331,1.5D,"Explosive, blasting, type B or Agent, blasting, Type B"
332,1.5D,"Explosive, blasting, type E or Agent, blasting, Type E"
333,1.1G,Fireworks
334,1.2G,Fireworks
335,1.3G,Fireworks
336,1.4G,Fireworks
337,1.4S,Fireworks
338,1.4C,"Cartridges for weapons, blank or Cartridges, small arms, blank"
339,1.4C,"Cartridges for weapons, inert projectile or Cartridges, small arms"
340,1.1D,"Nitrocellulose, dry or wetted with less than 25 percent water (or alcohol), by mass"
341,1.1D,"Nitrocellulose, unmodified or plasticized with less than 18 percent plasticizing substance, by mass"
342,1.3C,"Nitrocellulose, wetted with not less than 25 percent alcohol, by mass"
343,1.3C,"Nitrocellulose, plasticized with not less than 18 percent plasticizing substance, by mass"
344,1.4D,"Projectiles, with bursting charge"
345,1.4S,"Projectiles, inert with tracer"
346,1.2D,"Projectiles, with burster or expelling charge"
347,1.4D,"Projectiles, with burster or expelling charge"
348,1.4F,"Cartridges for weapons, with bursting charge"
349,1.4S,"Articles, explosive, n.o.s."
350,1.4B,"Articles, explosive, n.o.s."
351,1.4C,"Articles, explosive, n.o.s."
352,1.4D,"Articles, explosive, n.o.s."
353,1.4G,"Articles, explosive, n.o.s."
354,1.1L,"Articles, explosive, n.o.s."
355,1.2L,"Articles, explosive, n.o.s."
356,1.3L,"Articles, explosive, n.o.s."
357,1.1L,"Substances, explosive, n.o.s."
358,1.2L,"Substances, explosive, n.o.s."
359,1.3L,"Substances, explosive, n.o.s."
360,1.1B,"Detonator assemblies, non-electric for blasting"
361,1.4B,"Detonator assemblies, non-electric for blasting"
362,1.4G,"Ammunition, practice"
363,1.4G,"Ammunition, proof"
364,1.2B,Detonators for ammunition
365,1.4B,Detonators for ammunition
366,1.4S,Detonators for ammunition
367,1.4S,"Fuzes, detonating"
368,1.4S,"Fuzes, igniting"
369,1.1F,"Warheads, rocket with bursting charge"
370,1.4D,"Warheads, rocket with burster or expelling charge"
371,1.4F,"Warheads, rocket with burster or expelling charge"
372,1.2G,"Grenades, practice, hand or rifle"
373,1.4S,"Signal devices, hand"
374,1.1D,"Sounding devices, explosive"
375,1.2D,"Sounding devices, explosive"
376,1.4S,"Primers, tubular"
377,1.1B,"Primers, cap type"
378,1.4B,"Primers, cap type"
379,1.4C,"Cases, cartridges, empty with primer"
380,1.2L,"Articles, pyrophoric"
381,1.2C,"Cartridges, power device"
382,1.2B,"Components, explosive train, n.o.s."
383,1.4B,"Components, explosive train, n.o.s."
384,1.4S,"Components, explosive train, n.o.s."
385,1.1D,5-Nitrobenzotriazol
386,1.1D,Trinitrobenzenesulfonic acid
387,1.1D,Trinitrofluorenone
388,1.1D,Trinitrotoluene and Trinitrobenzene mixtures or TNT and trinitrobenzene mixtures or TNT and hexanitrostilbene mixtures or Trinitrotoluene and hexanitrostilnene mixtures
389,1.1D,Trinitrotoluene mixtures containing Trinitrobenzene and Hexanitrostilbene or TNT mixtures containing trinitrobenzene and hexanitrostilbene
390,1.1D,Tritonal
391,1.1D,"RDX and HMX mixtures, wetted with not less than 15 percent water by mass or RDX and HMX mixtures, desensitized with not less than 10 percent phlegmatizer by mass"
392,1.1D,Hexanitrostilbene
393,1.1D,Hexotonal
394,1.1D,"Trinitroresorcinol, wetted or Styphnic acid, wetted with not less than 20 percent water, or mixture of alcohol and water, by mass"
395,1.2J,"Rocket motors, liquid fueled"
396,1.3J,"Rocket motors, liquid fueled"
397,1.1J,"Rockets, liquid fueled with bursting charge"
398,1.2J,"Rockets, liquid fueled with bursting charge"
399,1.1J,"Bombs with flammable liquid, with bursting charge"
400,1.2J,"Bombs with flammable liquid, with bursting charge"
401,1.1D,"Dipicryl sulfide, dry or wetted with less than 10 percent water, by mass"
402,1.1D,Ammonium perchlorate
403,1.4G,"Flares, aerial"
404,1.4S,"Flares, aerial"
405,1.4S,"Cartridges, signal"
406,1.3C,Dinitrosobenzene
407,1.4C,Tetrazol-1-acetic acid
408,1.1D,"Fuzes, detonating, with protective features"
409,1.3D,"Fuzes, detonating, with protective features"
410,1.4D,"Fuzes, detonating, with protective features"
411,1.1D,"Pentaerythrite tetranitrate or Pentaerythritol tetranitrate or PETN, with not less than 7 percent wax by mass"
412,1.4E,"Cartridges for weapons, with bursting charge"
413,1.2C,"Cartridges for weapons, blank"
414,1.2C,"Charges, propelling, for cannon"
415,1.2C,"Charges, propelling"
416,?,"(UN No. no longer in use) Charges, propelling, for rocket motors (UN No. no longer in use)[1]"
417,1.3C,"Cartridges for weapons, inert projectile or Cartridges, small arms"
418,1.1G,"Flares, surface"
419,1.2G,"Flares, surface"
420,1.1G,"Flares, aerial"
421,1.2G,"Flares, aerial"
422,?,(UN No. no longer in use) Squibs (UN No. no longer in use)[1]
423,?,(UN No. no longer in use) Squibs (UN No. no longer in use)[1]
424,1.3G,"Projectiles, inert with tracer"
425,1.4G,"Projectiles, inert with tracer"
426,1.2F,"Projectiles, with burster or expelling charge"
427,1.4F,"Projectiles, with burster or expelling charge"
428,1.1G,"Articles, pyrotechnic for technical purposes"
429,1.2G,"Articles, pyrotechnic for technical purposes"
430,1.3G,"Articles, pyrotechnic for technical purposes"
431,1.4G,"Articles, pyrotechnic for technical purposes"
432,1.4S,"Articles, pyrotechnic for technical purposes"
433,1.1C,"Powder cake, wetted or Powder paste, wetted with not less than 17 percent alcohol by mass"
434,1.2G,"Projectiles, with burster or expelling charge"
435,1.4G,"Projectiles, with burster or expelling charge"
436,1.2C,"Rockets, with expelling charge"
437,1.3C,"Rockets, with expelling charge"
438,1.4C,"Rockets, with expelling charge"
439,1.2D,"Charges, shaped, without detonator"
440,1.4D,"Charges, shaped, without detonator"
441,1.4S,"Charges, shaped, without detonator"
442,1.1D,"Charges, explosive, commercial without detonator"
443,1.2D,"Charges, explosive, commercial without detonator"
444,1.4D,"Charges, explosive, commercial without detonator"
445,1.4S,"Charges, explosive, commercial without detonator"
446,1.4C,"Cases, combustible, empty, without primer"
447,1.3C,"Cases, combustible, empty, without primer"
448,1.4C,5-Mercaptotetrazol-1-acetic acid
449,1.1J,"Torpedoes, liquid fueled, with or without bursting charge"
450,1.3J,"Torpedoes, liquid fueled, with inert head"
451,1.1D,Torpedoes with bursting charge
452,1.4G,"Grenades, practice, hand or rifle"
453,1.4G,"Rockets, line-throwing"
454,1.4S,Igniters
455,1.4S,"Detonators, non-electric, for blasting"
456,1.4S,"Detonators, electric, for blasting"
457,1.1D,"Charges, bursting, plastics bonded"
458,1.2D,"Charges, bursting, plastics bonded"
459,1.4D,"Charges, bursting, plastics bonded"
460,1.4S,"Charges, bursting, plastics bonded"
461,1.1B,"Components, explosive train, n.o.s."
462,1.1C,"Articles, explosive, n.o.s."
463,1.1D,"Articles, explosive, n.o.s."
464,1.1E,"Articles, explosive, n.o.s."
465,1.1F,"Articles, explosive, n.o.s."
466,1.2C,"Articles, explosive, n.o.s."
467,1.2D,"Articles, explosive, n.o.s."
468,1.2E,"Articles, explosive, n.o.s."
469,1.2F,"Articles, explosive, n.o.s."
470,1.3C,"Articles, explosive, n.o.s."
471,1.4E,"Articles, explosive, n.o.s."
472,1.4F,"Articles, explosive, n.o.s."
473,1.1A,"Substances, explosive, n.o.s."
474,1.1C,"Substances, explosive, n.o.s."
475,1.1D,"Substances, explosive, n.o.s."
476,1.1G,"Substances, explosive, n.o.s."
477,1.3C,"Substances, explosive, n.o.s."
478,1.3G,"Substances, explosive, n.o.s."
479,1.4C,"Substances, explosive, n.o.s."
480,1.4D,"Substances, explosive, n.o.s."
481,1.4S,"Substances, explosive, n.o.s."
482,1.5D,"Substances, explosive, very insensitive, n.o.s. or Substances, EVI, n.o.s."
483,1.1D,"Cyclotrimethylenetrinitramine, desensitized or Cyclonite, desensitized or Hexogen, desensitized or RDX, desensitized"
484,1.1D,"Cyclotetramethylenetetranitramine, desensitized or Octogen, desensitized or HMX, desensitized"
485,1.4G,"Substances, explosive, n.o.s."
486,1.6N,"Articles, explosive, extremely insensitive or Articles, EEI"
487,1.3G,"Signals, smoke"
488,1.3G,"Ammunition, practice"
489,1.1D,Dinitroglycoluril or Dingu
490,1.1D,Nitrotriazolone or NTO
491,1.4C,"Charges, propelling"
492,1.3G,"Signals, railway track, explosive"
493,1.4G,"Signals, railway track, explosive"
494,1.4D,"Jet, perforating guns, charged, oil well, without detonator"
495,1.3C,"Propellant, liquid"
496,1.1D,Octonal
497,1.1C,"Propellant, liquid"
498,1.1C,"Propellant, solid"
499,1.3C,"Propellant, solid"
500,1.4S,"Detonator assemblies, non-electric, for blasting"
501,1.4C,"Propellant, solid"
502,1.2C,"Rockets, with inert head"
503,1.4G,"Safety devices, pyrotechnic"
504,1.1D,1H-Tetrazole
505,1.4G,"Signals, distress, ship"
506,1.4S,"Signals, distress, ship"
507,1.4S,"Signals, smoke"
508,1.3C,"1-Hydroxybenzotriazole, anhydrous, dry or wetted with less than 20% water, by mass"
509,1.4C,"Powder, smokeless"
510,1.4C,Rocket motors
511,1.1B,"Detonators, electronic, programmable for blasting"
512,1.4B,"Detonators, electronic, programmable for blasting"
513,1.4S,"Detonators, electronic, programmable for blasting"
514,1.4S,Fire suppressant dispersing devices†
515,?,(UN No.s not yet in use)
1001,2.1,"Acetylene, dissolved"
1002,2.2,"Air, compressed"
1003,2.2,"Air, refrigerated liquid, (cryogenic liquid)"
1004,?,(UN No. no longer in use)
1005,2.2,"Ammonia, anhydrous"
1006,2.2,"Argon, compressed"
1007,?,(UN No. no longer in use)
1008,2.3,Boron trifluoride
1009,2.2,"Bromotrifluoromethane or Refrigerant gas, R 13B1."
1010,2.1,"Butadienes, stabilized or Butadienes and Hydrocarbon mixture, stabilized containing more than 40% butadienes"
1011,2.1,"Butane see also Petroleum gases, liquefied"
1012,2.1,"Butylene see also Petroleum gases, liquefied"
1013,2.2,Carbon dioxide
1014,2,"(UN No. no longer in use) Carbon dioxide and oxygen mixtures, compressed (UN No. no longer in use)[1]"
1015,2,(UN No. no longer in use) Carbon dioxide and nitrous oxide mixtures (UN No. no longer in use)[1]
1016,2.3,"Carbon monoxide, compressed"
1017,2.3,Chlorine
1018,2.2,Chlorodifluoromethane or Refrigerant gas R 22
1019,?,(UN No. no longer in use)
1020,2.2,Chloropentafluoroethane or Refrigerant gas R 115
1021,2.2,"1-Chloro-1,2,2,2-tetrafluoroethane or Refrigerant gas R 124"
1022,2.2,Chlorotrifluoromethane or Refrigerant gas R 13
1023,2.3,"Coal gas, compressed"
1024,?,(UN No.s no longer in use)
1026,2.3,Cyanogen
1027,2.1,Cyclopropane
1028,2.2,Dichlorodifluoromethane or Refrigerant gas R 12
1029,2.2,Dichlorofluoromethane or Refrigerant gas R 21
1030,2.1,"1,1-Difluoroethane or Refrigerant gas R 152a"
1031,?,(UN No. no longer in use)
1032,2.1,"Dimethylamine, anhydrous"
1033,2.1,Dimethyl ether
1034,?,(UN No. no longer in use)
1035,2.1,Ethane
1036,2.1,Ethylamine
1037,2.1,Ethyl chloride
1038,2.1,"Ethylene, refrigerated liquid (cryogenic liquid)"
1039,2.1,Ethyl methyl ether
1040,2.3,Ethylene oxide or Ethylene oxide with nitrogen up to a total pressure of 1MPa (10 bar) at 50 °C
1041,2.1,Ethylene oxide and carbon dioxide mixtures with more than 9 percent but not more than 87 percent ethylene oxide
1042,?,(UN No. no longer in use)
1043,2.2,Fertilizer ammoniating solution with free ammonia
1044,2.2,Fire extinguishers containing compressed or liquefied gas
1045,2.3,"Fluorine, compressed"
1046,2.2,"Helium, compressed"
1047,?,(UN No. no longer in use)
1048,2.3,"Hydrogen bromide, anhydrous"
1049,2.1,"Hydrogen, compressed"
1050,2.3,"Hydrogen chloride, anhydrous"
1051,6.1,"Hydrogen cyanide, stabilized with less than 3 percent water"
1052,8,"Hydrogen fluoride, anhydrous"
1053,2.3,Hydrogen sulfide
1054,?,(UN No. no longer in use)
1055,2.1,"Isobutylene see also Petroleum gases, liquefied"
1056,2.2,"Krypton, compressed"
1057,2.1,Lighters containing flammable gas
1058,2.2,"Liquified gases, nonflammable charged with nitrogen, carbon dioxide, or air"
1059,?,(UN No. no longer in use)
1060,2.1,"Methyl acetylene and propadiene mixtures, stabilized"
1061,2.1,"Methylamine, anhydrous"
1062,2.3,Methyl bromide
1063,2.1,"Methyl chloride, or Refrigerant gas R 40"
1064,2.3,Methyl mercaptan
1065,2.2,"Neon, compressed"
1066,2.2,"Nitrogen, compressed"
1067,2.3,Dinitrogen tetroxide
1068,?,(UN No. no longer in use)
1069,2.3,Nitrosyl chloride
1070,2.2,Nitrous oxide
1071,2.3,"Oil gas, compressed"
1072,2.2,"Oxygen, compressed"
