numero_onu,classificacao_onu,grupo_embalagem,descricao
59,1,,"HOHLLADUNGEN, ohne Zündmittel"
60,1,,FÜLLSPRENGKÖRPER
65,1,,"SPRENGSCHNUR, biegsam"
66,1,,ANZÜNDLITZE
70,1,,"SCHNEIDVORRICHTUNGEN, KABEL, MIT EXPLOSIVSTOFF"
72,1,,"CYCLOTRIMETHYLENTRINITRAMIN (CYCLONIT), (HEXOGEN), (RDX), ANGEFEUCHTET mit mindestens 15 Masse-% Wasser"
73,1,,DETONATOREN FÜR MUNITION
74,1,,"DIAZODINITROPHENOL, ANGEFEUCHTET mit mindestens 40 Masse-% Wasser oder einer Alkohol/Wasser-Mischung"
75,1,,"DIETHYLENGLYCOLDINITRAT, DESENSIBILISIERT, mit mindestens 25 Masse-% nicht flüchtigem, wasserunlöslichem Phlegmatisierungsmittel"
76,1,,"DINITROPHENOL, trocken oder angefeuchtet mit weniger als 15 Masse-% Wasser"
77,1,,"DINITROPHENOLATE der Alkalimetalle, trocken oder angefeuchtet mit weniger als 15 Masse-% Wasser"
78,1,,"DINITRORESORCINOL, trocken oder angefeuchtet mit weniger als 15 Masse-% Wasser"
79,1,,"HEXANITRODIPHENYLAMIN (DIPIKRYLAMIN), (HEXYL)"
81,1,,"SPRENGSTOFF, TYP A"
82,1,,"SPRENGSTOFF, TYP B"
83,1,,"SPRENGSTOFF, TYP C"
84,1,,"SPRENGSTOFF, TYP D"
92,1,,"LEUCHTKÖRPER, BODEN"
93,1,,"LEUCHTKÖRPER, LUFTFAHRZEUG"
94,1,,BLITZLICHTPULVER
99,1,,"LOCKERUNGSSPRENGGERÄTE MIT EXPLOSIVSTOFF, für Erdölbohrungen, ohne Zündmittel"
101,1,,"STOPPINEN, NICHT SPRENGKRÄFTIG"
102,1,,"SPRENGSCHNUR, mit Metallmantel"
103,1,,"ANZÜNDSCHNUR, rohrförmig, mit Metallmantel"
104,1,,"SPRENGSCHNUR MIT GERINGER WIRKUNG, mit Metallmantel"
105,1,,ANZÜNDSCHNUR (SICHERHEITSZÜNDSCHNUR)
106,1,,"ZÜNDER, SPRENGKRÄFTIG"
107,1,,"ZÜNDER, SPRENGKRÄFTIG"
110,1,,"GRANATEN, ÜBUNG, Hand oder Gewehr"
113,1,,"GUANYLNITROSAMINOGUANYLIDENHYDRAZIN, ANGEFEUCHTET mit mindestens 30 Masse-% Wasser"
114,1,,"GUANYLNITROSAMINOGUANYLTETRAZEN (TETRACEN), ANGEFEUCHTET mit mindestens 30 Masse-% Wasser oder einer Alkohol/Wasser-Mischung"
118,1,,"HEXOLIT (HEXOTOL), trocken oder angefeuchtet mit weniger als 15 Masse-% Wasser"
121,1,,ANZÜNDER
124,1,,"PERFORATIONSHOHLLADUNGSTRÄGER, GELADEN, für Erdölbohrlöcher, ohne Zündmittel"
129,1,,"BLEIAZID, ANGEFEUCHTET mit mindestens 20 Masse-% Wasser oder einer Alkohol/Wasser-Mischung"
130,1,,"BLEISTYPHNAT (BLEITRINITRORESORCINAT), ANGEFEUCHTET mit mindestens 20 Masse-% Wasser oder einer Alkohol/Wasser-Mischung"
131,1,,"ANZÜNDER, ANZÜNDSCHNUR"
132,1,,"DEFLAGRIERENDE METALLSALZE AROMATISCHER NITROVERBINDUNGEN, N.A.G."
133,1,,"MANNITOLHEXANITRAT (NITROMANNITOL), ANGEFEUCHTET mit mindestens 40 Masse-% Wasser oder einer Alkohol/Wasser-Mischung"
135,1,,"QUECKSILBERFULMINAT, ANGEFEUCHTET mit mindestens 20 Masse-% Wasser oder einer Alkohol/Wasser-Mischung"
136,1,,"MINEN, mit Sprengladung"
137,1,,"MINEN, mit Sprengladung"
138,1,,"MINEN, mit Sprengladung"
143,1,,"NITROGLYCERIN, DESENSIBILISIERT mit mindestens 40 Masse-% nicht flüchtigem, wasserunlöslichem Phlegmatisierungsmittel"
144,1,,"NITROGLYCERIN, LÖSUNG IN ALKOHOL mit mehr als 1 %, aber nicht mehr als 10 % Nitroglycerin"
146,1,,"NITROSTÄRKE, trocken oder angefeuchtet mit weniger als 20 Masse-% Wasser"
147,1,,NITROHARNSTOFF
150,1,,"PENTAERYTHRITTETRANITRAT (PENTAERYTHRITOL TETRANITRAT) (PETN), ANGEFEUCHTET mit mindestens 25 Masse-% Wasser oder DESENSIBILISIERT mit mindestens 15 Masse-% Phlegmatisierungsmittel"
151,1,,"PENTOLIT, trocken oder angefeuchtet mit weniger als 15 Masse-% Wasser"
153,1,,TRINITROANILIN (PIKRAMID)
154,1,,"TRINITROPHENOL (PIKRINSÄURE), trocken oder angefeuchtet mit weniger als 30 Masse-% Wasser"
155,1,,TRINITROCHLORBENZEN (PIKRYLCHLORID)
159,1,,"PULVERROHMASSE, ANGEFEUCHTET mit mindestens 25 Masse-% Wasser"
160,1,,TREIBLADUNGSPULVER
161,1,,TREIBLADUNGSPULVER
167,1,,"GESCHOSSE, mit Sprengladung"
168,1,,"GESCHOSSE, mit Sprengladung"
169,1,,"GESCHOSSE, mit Sprengladung"
171,1,,"MUNITION, LEUCHT, mit oder ohne Zerleger, Ausstoss- oder Treibladung"
173,1,,AUSLÖSEVORRICHTUNGEN MIT EXPLOSIVSTOFF
174,1,,SPRENGNIETE
180,1,,"RAKETEN, mit Sprengladung"
181,1,,"RAKETEN, mit Sprengladung"
182,1,,"RAKETEN, mit Sprengladung"
183,1,,"RAKETEN, mit inertem Kopf"
186,1,,RAKETENMOTOREN
190,1,,"EXPLOSIVSTOFF, MUSTER, ausser Initialsprengstoff"
191,1,,"SIGNALKÖRPER, HAND"
192,1,,"KNALLKAPSELN, EISENBAHN"
193,1,,"KNALLKAPSELN, EISENBAHN"
194,1,,"SIGNALKÖRPER, SEENOT"
195,1,,"SIGNALKÖRPER, SEENOT"
196,1,,"SIGNALKÖRPER, RAUCH"
197,1,,"SIGNALKÖRPER, RAUCH"
204,1,,"FALLLOTE, MIT EXPLOSIVSTOFF"
207,1,,TETRANITROANILIN
208,1,,TRINITROPHENYLMETHYLNITRAMIN (TETRYL)
209,1,,"TRINITROTOLUEN (TNT), trocken oder angefeuchtet mit weniger als 30 Masse-% Wasser"
212,1,,LEUCHTSPURKÖRPER FÜR MUNITION
213,1,,TRINITROANISOL
214,1,,"TRINITROBENZEN, trocken oder angefeuchtet mit weniger als 30 Masse-% Wasser"
215,1,,"TRINITROBENZOESÄURE, trocken oder angefeuchtet mit weniger als 30 Masse-% Wasser"
216,1,,TRINITRO-m-CRESOL
217,1,,TRINITRONAPHTHALEN
218,1,,TRINITROPHENETOL
219,1,,"TRINITRORESORCINOL (STYPHNINSÄURE), trocken oder angefeuchtet mit weniger als 20 Masse-% Wasser oder einer Alkohol/Wasser-"
220,1,,"HARNSTOFFNITRAT, trocken oder angefeuchtet mit weniger als 20 Masse-% Wasser"
221,1,,"GEFECHTSKÖPFE, TORPEDO, mit Sprengladung"
222,1,,AMMONIUMNITRAT
224,1,,"BARIUMAZID, trocken oder angefeuchtet mit weniger als 50 Masse-% Wasser"
225,1,,"ZÜNDVERSTÄRKER, MIT DETONATOR"
226,1,,"CYCLOTETRAMETHYLENTETRANITRAMIN (HMX) (OKTOGEN), ANGEFEUCHTET mit mindestens 15 Masse-% Wasser"
234,1,,"NATRIUMDINITROORTHOCRESOLAT, trocken oder angefeuchtet mit weniger als 15 Masse-% Wasser"
235,1,,"NATRIUMPIKRAMAT, trocken oder angefeuchtet mit weniger als 20 Masse-% Wasser"
236,1,,"ZIRKONIUMPIKRAMAT, trocken oder angefeuchtet mit weniger als 20 Masse-% Wasser"
237,1,,"SCHNEIDLADUNG, BIEGSAM, GESTRECKT"
238,1,,"RAKETEN, LEINENWURF"
240,1,,"RAKETEN, LEINENWURF"
241,1,,"SPRENGSTOFF, TYP E"
242,1,,TREIBLADUNGEN FÜR GESCHÜTZE
243,1,,"MUNITION, BRAND, WEISSER PHOSPHOR, mit Zerleger, Ausstoss- oder Treibladung"
244,1,,"MUNITION, BRAND, WEISSER PHOSPHOR, mit Zerleger, Ausstoss- oder Treibladung"
245,1,,"MUNITION, NEBEL, WEISSER PHOSPHOR, mit Zerleger, Ausstoss- oder Treibladung"
246,1,,"MUNITION, NEBEL, WEISSER PHOSPHOR, mit Zerleger, Ausstoss- oder Treibladung"
247,1,,"MUNITION, BRAND, mit flüssigem oder geliertem Brandstoff, mit Zerleger, Ausstoss- oder Treibladung"
248,1,,"VORRICHTUNGEN, DURCH WASSER AKTIVIERBAR, mit Zerleger, Ausstoss- oder Treibladung"
249,1,,"VORRICHTUNGEN, DURCH WASSER AKTIVIERBAR, mit Zerleger, Ausstoss- oder Treibladung"
250,1,,"RAKETENTRIEBWERKE MIT HYPERGOLEN, mit oder ohne Ausstossladung"
254,1,,"MUNITION, LEUCHT, mit oder ohne Zerleger, Ausstoss- oder Treibladung"
255,1,,"SPRENGKAPSELN, ELEKTRISCH"
257,1,,"ZÜNDER, SPRENGKRÄFTIG"
266,1,,"OKTOLIT (OCTOL), trocken oder angefeuchtet mit weniger als 15 Masse-% Wasser"
267,1,,"SPRENGKAPSELN, NICHT ELEKTRISCH"
268,1,,"ZÜNDVERSTÄRKER, MIT DETONATOR"
271,1,,TREIBSÄTZE
272,1,,TREIBSÄTZE
275,1,,KARTUSCHEN FÜR TECHNISCHE ZWECKE
276,1,,KARTUSCHEN FÜR TECHNISCHE ZWECKE
277,1,,"KARTUSCHEN, ERDÖLBOHRLOCH"
278,1,,"KARTUSCHEN, ERDÖLBOHRLOCH"
279,1,,TREIBLADUNGEN FÜR GESCHÜTZE
280,1,,RAKETENMOTOREN
281,1,,RAKETENMOTOREN
282,1,,"NITROGUANIDIN (PICRIT), trocken oder angefeuchtet mit weniger als 20 Masse-% Wasser"
283,1,,"ZÜNDVERSTÄRKER, ohne Detonator"
284,1,,"GRANATEN, Hand oder Gewehr, mit Sprengladung"
285,1,,"GRANATEN, Hand oder Gewehr, mit Sprengladung"
286,1,,"GEFECHTSKÖPFE, RAKETE, mit Sprengladung"
287,1,,"GEFECHTSKÖPFE, RAKETE, mit Sprengladung"
288,1,,"SCHNEIDLADUNG, BIEGSAM, GESTRECKT"
289,1,,"SPRENGSCHNUR, biegsam"
290,1,,"SPRENGSCHNUR, mit Metallmantel"
291,1,,"BOMBEN, mit Sprengladung"
292,1,,"GRANATEN, Hand oder Gewehr, mit Sprengladung"
293,1,,"GRANATEN, Hand oder Gewehr, mit Sprengladung"
294,1,,"MINEN, mit Sprengladung"
295,1,,"RAKETEN, mit Sprengladung"
296,1,,"FALLLOTE, MIT EXPLOSIVSTOFF"
297,1,,"MUNITION, LEUCHT, mit oder ohne Zerleger, Ausstoss- oder Treibladung"
299,1,,"BOMBEN, BLITZLICHT"
300,1,,"MUNITION, BRAND, mit oder ohne Zerleger, Ausstoss- oder Treibladung"
301,1,,"MUNITION, AUGENREIZSTOFF, mit Zerleger, Ausstoss- oder Treibladung"
303,1,,"MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung"
303,1,,"MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung, mit ätzenden Stoffen"
303,1,,"MUNITION, NEBEL, mit oder ohne Zerleger, Ausstoss- oder Treibladung, mit beim Einatmen giftigen Stoffen"
305,1,,BLITZLICHTPULVER
306,1,,LEUCHTSPURKÖRPER FÜR MUNITION
312,1,,"PATRONEN, SIGNAL"
313,1,,"SIGNALKÖRPER, RAUCH"
314,1,,ANZÜNDER
315,1,,ANZÜNDER
316,1,,"ZÜNDER, NICHT SPRENGKRÄFTIG"
317,1,,"ZÜNDER, NICHT SPRENGKRÄFTIG"
318,1,,"GRANATEN, ÜBUNG, Hand oder Gewehr"
319,1,,TREIBLADUNGSANZÜNDER
320,1,,TREIBLADUNGSANZÜNDER
321,1,,"PATRONEN FÜR WAFFEN, mit Sprengladung"
322,1,,"RAKETENTRIEBWERKE, MIT HYPERGOLEN, mit oder ohne Ausstossladung"
323,1,,KARTUSCHEN FÜR TECHNISCHE ZWECKE
324,1,,"GESCHOSSE, mit Sprengladung"
325,1,,ANZÜNDER
326,1,,"PATRONEN FÜR WAFFEN, MANÖVER"
327,1,,"PATRONEN FÜR WAFFEN, MANÖVER oder PATRONEN FÜR HANDFEUERWAFFEN, MANÖVER"
328,1,,"PATRONEN FÜR WAFFEN, MIT INERTEM GESCHOSS"
329,1,,"TORPEDOS, mit Sprengladung"
330,1,,"TORPEDOS, mit Sprengladung"
331,1,,"SPRENGSTOFF, TYP B"
332,1,,"SPRENGSTOFF, TYP E"
333,1,,FEUERWERKSKÖRPER
334,1,,FEUERWERKSKÖRPER
335,1,,FEUERWERKSKÖRPER
336,1,,FEUERWERKSKÖRPER
337,1,,FEUERWERKSKÖRPER
338,1,,"PATRONEN FÜR WAFFEN, MANÖVER oder PATRONEN FÜR HANDFEUERWAFFEN, MANÖVER"
339,1,,PATRONEN FÜR WAFFEN MIT INERTEM GESCHOSS oder PATRONEN FÜR HANDFEUERWAFFEN
340,1,,"NITROCELLULOSE, trocken oder angefeuchtet mit weniger als 25 Masse-% Wasser (oder Alkohol)"
341,1,,"NITROCELLULOSE, nicht behandelt oder plastifiziert mit weniger als 18 Masse-% Plastifizierungsmittel"
342,1,,"NITROCELLULOSE, ANGEFEUCHTET mit mindestens 25 Masse-% Alkohol"
343,1,,"NITROCELLULOSE, PLASTIFIZIERT, mit mindestens 18 Masse-% Plastifizierungsmittel"
344,1,,"GESCHOSSE, mit Sprengladung"
345,1,,"GESCHOSSE, inert, mit Leuchtspurmitteln"
346,1,,"GESCHOSSE, mit Zerleger oder Ausstossladung"
347,1,,"GESCHOSSE, mit Zerleger oder Ausstossladung"
348,1,,"PATRONEN FÜR WAFFEN, mit Sprengladung"
349,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
350,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
351,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
352,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
353,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
354,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
355,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
356,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
357,1,,"EXPLOSIVE STOFFE, N.A.G."
358,1,,"EXPLOSIVE STOFFE, N.A.G."
359,1,,"EXPLOSIVE STOFFE, N.A.G."
360,1,,"ZÜNDEINRICHTUNGEN für Sprengungen, NICHT ELEKTRISCH"
361,1,,"ZÜNDEINRICHTUNGEN für Sprengungen, NICHT ELEKTRISCH"
362,1,,"MUNITION, ÜBUNG"
363,1,,"MUNITION, PRÜF"
364,1,,DETONATOREN FÜR MUNITION
365,1,,DETONATOREN FÜR MUNITION
366,1,,DETONATOREN FÜR MUNITION
367,1,,"ZÜNDER, SPRENGKRÄFTIG"
368,1,,"ZÜNDER, NICHT SPRENGKRÄFTIG"
369,1,,"GEFECHTSKÖPFE, RAKETE, mit Sprengladung"
370,1,,"GEFECHTSKÖPFE, RAKETE, mit Zerleger oder Ausstossladung"
371,1,,"GEFECHTSKÖPFE, RAKETE, mit Zerleger oder Ausstossladung"
372,1,,"GRANATEN, ÜBUNG, Hand oder Gewehr"
373,1,,"SIGNALKÖRPER, HAND"
374,1,,"FALLLOTE, MIT EXPLOSIVSTOFF"
375,1,,"FALLLOTE, MIT EXPLOSIVSTOFF"
376,1,,TREIBLADUNGSANZÜNDER
377,1,,ANZÜNDHÜTCHEN
378,1,,ANZÜNDHÜTCHEN
379,1,,"TREIBLADUNGSHÜLSEN, LEER, MIT TREIBLADUNGSANZÜNDER"
380,1,,"GEGENSTÄNDE, PYROPHOR"
381,1,,KARTUSCHEN FÜR TECHNISCHE ZWECKE
382,1,,"BESTANDTEILE, ZÜNDKETTE, N.A.G."
383,1,,"BESTANDTEILE, ZÜNDKETTE, N.A.G."
384,1,,"BESTANDTEILE, ZÜNDKETTE, N.A.G."
385,1,,5-NITROBENZOTRIAZOL
386,1,,TRINITROBENZENSULFONSÄURE
387,1,,TRINITROFLUORENON
388,1,,TRINITROTOLUEN (TNT) IN MISCHUNG MIT TRINITROBENZEN oder TRINITROTOLUEN (TNT) IN MISCHUNG MIT HEXANITROSTILBEN
389,1,,TRINITROTOLUEN (TNT) IN MISCHUNG MIT TRINITROBENZEN UND HEXANITROSTILBEN
390,1,,TRITONAL
391,1,,"CYCLOTRIMETHYLENTRINITRAMIN (CYCLONIT), (HEXOGEN), (RDX), IN MISCHUNG MIT CYCLOTETRAMETHYLENTETRANITRAMIN (HMX), (OKTOGEN), ANGEFEUCHTET mit mindestens 15 Masse-% Wasser oder DESENSIBILISIERT mit mindestens 10 Masse-% Phlegmatisierungsmittel"
392,1,,HEXANITROSTILBEN
393,1,,HEXOTONAL
394,1,,"TRINITRORESORCINOL (STYPHNINSÄURE), ANGEFEUCHTET mit mindestens 20 Masse-% Wasser oder einer Alkohol/Wasser-Mischung"
395,1,,"RAKETENMOTOREN, FLÜSSIGTREIBSTOFF"
396,1,,"RAKETENMOTOREN, FLÜSSIGTREIBSTOFF"
397,1,,"RAKETEN, FLÜSSIGTREIBSTOFF, mit Sprengladung"
398,1,,"RAKETEN, FLÜSSIGTREIBSTOFF, mit Sprengladung"
399,1,,"BOMBEN, DIE ENTZÜNDBARE FLÜSSIGKEIT ENTHALTEN, mit Sprengladung"
400,1,,"BOMBEN, DIE ENTZÜNDBARE FLÜSSIGKEIT ENTHALTEN, mit Sprengladung"
401,1,,"DIPIKRYLSULFID, trocken oder angefeuchtet mit weniger als 10 Masse-% Wasser"
402,1,,AMMONIUMPERCHLORAT
403,1,,"LEUCHTKÖRPER, LUFTFAHRZEUG"
404,1,,"LEUCHTKÖRPER, LUFTFAHRZEUG"
405,1,,"PATRONEN, SIGNAL"
406,1,,DINITROSOBENZEN
407,1,,TETRAZOL-1-ESSIGSÄURE
408,1,,"ZÜNDER, SPRENGKRÄFTIG, mit Sicherungsvorrichtungen"
409,1,,"ZÜNDER, SPRENGKRÄFTIG, mit Sicherungsvorrichtungen"
410,1,,"ZÜNDER, SPRENGKRÄFTIG, mit Sicherungsvorrichtungen"
411,1,,"PENTAERYTHRITTETRANITRAT (PENTAERYTHRITOL TETRANITRAT) (PETN), mit nicht weniger als 7 Masse-% Wachs"
412,1,,"PATRONEN FÜR WAFFEN, mit Sprengladung"
413,1,,"PATRONEN FÜR WAFFEN, MANÖVER"
414,1,,TREIBLADUNGEN FÜR GESCHÜTZE
415,1,,TREIBSÄTZE
417,1,,"PATRONEN FÜR WAFFEN, MIT INERTEM GESCHOSS oder PATRONEN FÜR HANDFEUERWAFFEN"
418,1,,"LEUCHTKÖRPER, BODEN"
419,1,,"LEUCHTKÖRPER, BODEN"
420,1,,"LEUCHTKÖRPER, LUFTFAHRZEUG"
421,1,,"LEUCHTKÖRPER, LUFTFAHRZEUG"
424,1,,"GESCHOSSE, inert, mit Leuchtspurmitteln"
425,1,,"GESCHOSSE, inert, mit Leuchtspurmitteln"
426,1,,"GESCHOSSE, mit Zerleger oder Ausstossladung"
427,1,,"GESCHOSSE, mit Zerleger oder Ausstossladung"
428,1,,PYROTECHNISCHE GEGENSTÄNDE für technische Zwecke
429,1,,PYROTECHNISCHE GEGENSTÄNDE für technische Zwecke
430,1,,PYROTECHNISCHE GEGENSTÄNDE für technische Zwecke
431,1,,PYROTECHNISCHE GEGENSTÄNDE für technische Zwecke
432,1,,PYROTECHNISCHE GEGENSTÄNDE für technische Zwecke
433,1,,"PULVERROHMASSE, ANGEFEUCHTET mit nicht weniger als 17 Masse-% Alkohol"
434,1,,"GESCHOSSE, mit Zerleger oder Ausstossladung"
435,1,,"GESCHOSSE, mit Zerleger oder Ausstossladung"
436,1,,"RAKETEN, mit Ausstossladung"
437,1,,"RAKETEN, mit Ausstossladung"
438,1,,"RAKETEN, mit Ausstossladung"
439,1,,"HOHLLADUNGEN, ohne Zündmittel"
440,1,,"HOHLLADUNGEN, ohne Zündmittel"
441,1,,"HOHLLADUNGEN, ohne Zündmittel"
442,1,,"SPRENGLADUNGEN, GEWERBLICHE, ohne Zündmittel"
443,1,,"SPRENGLADUNGEN, GEWERBLICHE, ohne Zündmittel"
444,1,,"SPRENGLADUNGEN, GEWERBLICHE, ohne Zündmittel"
445,1,,"SPRENGLADUNGEN, GEWERBLICHE, ohne Zündmittel"
446,1,,"TREIBLADUNGSHÜLSEN, VERBRENNLICH, LEER, OHNE TREIBLADUNGSANZÜNDER"
447,1,,"TREIBLADUNGSHÜLSEN, VERBRENNLICH, LEER, OHNE TREIBLADUNGSANZÜNDER"
448,1,,5-MERCAPTOTETRAZOL-1ESSIGSÄURE
449,1,,"TORPEDOS, MIT FLÜSSIGTREIBSTOFF, mit oder ohne Sprengladung"
450,1,,"TORPEDOS, MIT FLÜSSIGTREIBSTOFF, mit inertem Kopf"
451,1,,"TORPEDOS, mit Sprengladung"
452,1,,"GRANATEN, ÜBUNG, Hand oder Gewehr"
453,1,,"RAKETEN, LEINENWURF"
454,1,,ANZÜNDER
455,1,,"SPRENGKAPSELN, NICHT ELEKTRISCH"
456,1,,"SPRENGKAPSELN, ELEKTRISCH"
457,1,,"SPRENGLADUNGEN, KUNSTSTOFFGEBUNDEN"
458,1,,"SPRENGLADUNGEN, KUNSTSTOFFGEBUNDEN"
459,1,,"SPRENGLADUNGEN, KUNSTSTOFFGEBUNDEN"
460,1,,"SPRENGLADUNGEN, KUNSTSTOFFGEBUNDEN"
461,1,,"BESTANDTEILE, ZÜNDKETTE, N.A.G."
462,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
463,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
464,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
465,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
466,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
467,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
468,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
469,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
470,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
471,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
472,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, N.A.G."
473,1,,"EXPLOSIVE STOFFE, N.A.G."
474,1,,"EXPLOSIVE STOFFE, N.A.G."
475,1,,"EXPLOSIVE STOFFE, N.A.G."
476,1,,"EXPLOSIVE STOFFE, N.A.G."
477,1,,"EXPLOSIVE STOFFE, N.A.G."
478,1,,"EXPLOSIVE STOFFE, N.A.G."
479,1,,"EXPLOSIVE STOFFE, N.A.G."
480,1,,"EXPLOSIVE STOFFE, N.A.G."
481,1,,"EXPLOSIVE STOFFE, N.A.G."
482,1,,"EXPLOSIVE STOFFE, SEHR UNEMPFINDLICH, N.A.G. (STOFFE, EVI, N.A.G.)"
483,1,,"CYCLOTRIMETHYLENTRINITRAMIN (CYCLONIT), (HEXOGEN), (RDX), DESENSIBILISIERT"
484,1,,"CYCLOTETRAMETHYLENTETRANITRAMIN (HMX), (OKTOGEN), DESENSIBILISIERT"
485,1,,"EXPLOSIVE STOFFE, N.A.G."
486,1,,"GEGENSTÄNDE MIT EXPLOSIVSTOFF, EXTREM UNEMPFINDLICH (GEGENSTÄNDE, EEI)"
487,1,,"SIGNALKÖRPER, RAUCH"
488,1,,"MUNITION, ÜBUNG"
489,1,,DINITROGLYCOLURIL (DINGU)
490,1,,OXYNITROTRIAZOL (ONTA)
491,1,,TREIBSÄTZE
492,1,,"KNALLKAPSELN, EISENBAHN"
493,1,,"KNALLKAPSELN, EISENBAHN"
494,1,,"PERFORATIONSHOHLLADUNGSTRÄGER, GELADEN, für Erdölbohrlöcher, ohne Zündmittel"
495,1,,"TREIBSTOFF, FLÜSSIG"
496,1,,OCTONAL
497,1,,"TREIBSTOFF, FLÜSSIG"
498,1,,"TREIBSTOFF, FEST"
499,1,,"TREIBSTOFF, FEST"
500,1,,"ZÜNDEINRICHTUNGEN für Sprengungen, NICHT ELEKTRISCH"
501,1,,"TREIBSTOFF, FEST"
502,1,,"RAKETEN, mit inertem Kopf"
503,1,,"SICHERHEITSEINRICHTUNGEN, PYROTECHNISCH"
504,1,,1H-TETRAZOL
505,1,,"SIGNALKÖRPER, SEENOT"
506,1,,"SIGNALKÖRPER, SEENOT"
507,1,,"SIGNALKÖRPER, RAUCH"
